+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                         ;
+-----------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                     ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+-----------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; output_signal_inst                            ; 136   ; 116            ; 0            ; 116            ; 13     ; 116             ; 116           ; 116             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; determine_tx_signal_inst                      ; 136   ; 116            ; 0            ; 116            ; 134    ; 116             ; 116           ; 116             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; find_min_inst                                 ; 163   ; 232            ; 0            ; 232            ; 167    ; 232             ; 232           ; 232             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dq_calculate|qmult_dq                         ; 64    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dq_calculate                                  ; 194   ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; delay_valid_inst                              ; 40    ; 68             ; 0            ; 68             ; 32     ; 68              ; 68            ; 68              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; delay_dh                                      ; 40    ; 6              ; 0            ; 6              ; 32     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dmin_inst|Rqcaculate|qmul_rq4                 ; 64    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dmin_inst|Rqcaculate|qmul_rq3                 ; 64    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dmin_inst|Rqcaculate|qmul_rq2                 ; 64    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dmin_inst|Rqcaculate|qmul_rq1                 ; 64    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; dmin_inst|Rqcaculate                          ; 128   ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
